path,label,label_name,dataset,scene,camera,weather,split,y_pred,prob
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0034.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4826555
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0000.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.4849637
data/raw/PKLot/PKLotSegmented/PUC/Rainy/Occupied/PUC_Rainy_Occupied_0011.jpg,1,occupied,pklot,PUC,PUC,rainy,test,0,0.48153785
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0036.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.48162425
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0010.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.48786116
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0012.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.4743828
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0027.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4768378
data/raw/PKLot/PKLotSegmented/PUC/Cloudy/Occupied/PUC_Cloudy_Occupied_0003.jpg,1,occupied,pklot,PUC,PUC,cloudy,test,0,0.4863257
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0033.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4791419
data/raw/PKLot/PKLotSegmented/UFPR04/Cloudy/Occupied/UFPR04_Cloudy_Occupied_0010.jpg,1,occupied,pklot,UFPR04,UFPR04,cloudy,test,0,0.48139462
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0011.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.48533845
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0005.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.47890815
data/raw/PKLot/PKLotSegmented/PUC/Sunny/Occupied/PUC_Sunny_Occupied_0011.jpg,1,occupied,pklot,PUC,PUC,sunny,test,0,0.47678858
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0006.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4782852
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0002.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4847203
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0013.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.48321885
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0014.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.4820297
data/raw/CNRPark-EXT/PATCHES/busy/cnr_busy_0022.jpg,1,occupied,cnrpark_ext,unknown,unknown,unknown,test,0,0.48790142
